ID,Globality,RunPosition,Congruent Stimuli with Target,Incongruent Stimuli with Target,Congruence_Effect
1,Global,2,394.6,475.55,80.94999999999999
1,Global,6,335.8,309.85,-25.94999999999999
1,Local,2,436.10526315789474,523.35,87.24473684210528
1,Local,6,407.8888888888889,454.4,46.51111111111106
2,Global,2,209.15,219.21052631578948,10.060526315789474
2,Global,6,224.5,254.4,29.900000000000006
2,Local,2,230.5,205.73684210526315,-24.76315789473685
2,Local,6,232.35,228.95,-3.4000000000000057
3,Global,2,252.2,320.7,68.5
3,Global,6,243.05,236.15,-6.900000000000006
3,Local,2,330.1578947368421,364.05,33.89210526315793
3,Local,6,216.35,269.35,53.00000000000003
4,Global,2,188.35,224.1578947368421,35.807894736842115
4,Global,6,213.5,165.5,-48
4,Local,2,228.05263157894737,180.52631578947367,-47.5263157894737
4,Local,6,215.15,240.65,25.5
5,Global,2,279.89473684210526,351.85,71.95526315789476
5,Global,6,271.1,305.8421052631579,34.742105263157896
5,Local,2,321.9,346.05,24.150000000000034
5,Local,6,354.1,327,-27.100000000000023
6,Global,2,288.45,319.7,31.25
6,Global,6,266.85,232.4,-34.45000000000002
6,Local,2,276.4,337.4736842105263,61.073684210526324
6,Local,6,242.65,241.8,-0.8499999999999943
7,Global,2,392.9,405.6,12.700000000000045
7,Global,6,356.95,390.05,33.10000000000002
7,Local,2,440.85,441.1578947368421,0.3078947368420586
7,Local,6,422.25,451.5,29.25
8,Global,2,392.8,402.57894736842104,9.77894736842103
8,Global,6,363.25,431.57894736842104,68.32894736842104
8,Local,2,417.65,467.45,49.80000000000001
8,Local,6,389.1,456.35,67.25
9,Global,2,167.1,227.7,60.599999999999994
9,Global,6,152.35,187,34.650000000000006
9,Local,2,240.7,278.5,37.80000000000001
9,Local,6,159.3,159.21052631578948,-0.0894736842105317
10,Global,2,307.5,312.8,5.300000000000011
10,Global,6,233.15,316.25,83.1
10,Local,2,333.6,400.3,66.69999999999999
10,Local,6,280.45,372.7894736842105,92.33947368421053
11,Global,2,390.25,385.7,-4.550000000000011
11,Global,6,369.1,389.5,20.399999999999977
11,Local,2,372.7,511.95,139.25
11,Local,6,341.05,445.55,104.5
12,Global,2,323.6,341.7368421052632,18.136842105263156
12,Global,6,349.1,302.2,-46.900000000000034
12,Local,2,360.15,385.4,25.25
12,Local,6,351.4,408.75,57.35000000000002
13,Global,2,351.7,310.5263157894737,-41.17368421052629
13,Global,6,286.3,334.6,48.30000000000001
13,Local,2,376.1,379.6842105263158,3.5842105263157578
13,Local,6,277.65,342.6,64.95000000000005
15,Global,2,259.1,294.44444444444446,35.344444444444434
15,Global,6,252.2,272.1,19.900000000000034
15,Local,2,392.2,393.8333333333333,1.6333333333333258
15,Local,6,280.7,236.4,-44.29999999999998
17,Global,2,287.6,316.4,28.799999999999955
17,Global,6,286.05,240.05,-46
17,Local,2,342,389.5,47.5
17,Local,6,288.45,324,35.55000000000001
18,Global,2,345.3,401.45,56.14999999999998
18,Global,6,321.5,354.7,33.19999999999999
18,Local,2,424.8,541.35,116.55000000000001
18,Local,6,357.95,350.3,-7.649999999999977
19,Global,2,273.1,276.9,3.7999999999999545
19,Global,6,210.65,181.73684210526315,-28.913157894736855
19,Local,2,281.95,317.57894736842104,35.62894736842105
19,Local,6,190.95,195.7,4.75
20,Global,2,357.95,417.2,59.25
20,Global,6,305.85,287.2,-18.650000000000034
20,Local,2,375.75,445.8421052631579,70.09210526315792
20,Local,6,332.85,406.1,73.25
21,Global,2,247.1,315,67.9
21,Global,6,208.6315789473684,221.05,12.4184210526316
21,Local,2,287.3,250.68421052631578,-36.61578947368423
21,Local,6,306.75,241.42105263157896,-65.32894736842104
22,Global,2,334.57894736842104,254.3684210526316,-80.21052631578945
22,Global,6,219.85,170.73684210526315,-49.113157894736844
22,Local,2,296.4,251.8,-44.599999999999966
22,Local,6,272.85,233.78947368421052,-39.0605263157895
23,Global,2,225.2,240.7,15.5
23,Global,6,239.3,242.21052631578948,2.9105263157894683
23,Local,2,365.8,334.5,-31.30000000000001
23,Local,6,285.15,273.25,-11.899999999999977
24,Global,2,391.6,381.05,-10.550000000000011
24,Global,6,276,280.55555555555554,4.555555555555543
24,Local,2,455.7894736842105,483.5263157894737,27.73684210526318
24,Local,6,354.25,290.55,-63.69999999999999
27,Global,2,312.25,315.95,3.6999999999999886
27,Global,6,328.85,297.05,-31.80000000000001
27,Local,2,402.35,394,-8.350000000000023
27,Local,6,332.25,389.94736842105266,57.69736842105266
28,Global,2,156.05,296,139.95
28,Global,6,298.9,175.95,-122.94999999999999
28,Local,2,236.8,229.94736842105263,-6.852631578947381
28,Local,6,209.31578947368422,282.4736842105263,73.15789473684208
29,Global,2,326.75,392.5263157894737,65.7763157894737
29,Global,6,274.25,314.2105263157895,39.96052631578948
29,Local,2,396.35,391.5,-4.850000000000023
29,Local,6,364.75,367.55,2.8000000000000114
30,Global,2,415.4,480.15,64.75
30,Global,6,346.35,333.35,-13
30,Local,2,401.25,538.7,137.45000000000005
30,Local,6,406.7,507.4,100.69999999999999
32,Global,2,158.3,118.9,-39.400000000000006
32,Global,6,168.75,161.2,-7.550000000000011
32,Local,2,209.7,274.55,64.85000000000002
32,Local,6,188.95,192.5,3.5500000000000114
34,Global,2,243.65,288.1666666666667,44.51666666666668
34,Global,6,322.25,279.7894736842105,-42.46052631578948
34,Local,2,273.75,367.72222222222223,93.97222222222223
34,Local,6,296.27777777777777,340.6666666666667,44.388888888888914
35,Global,2,290.05,305.5,15.449999999999989
35,Global,6,287.95,283.63157894736844,-4.31842105263155
35,Local,2,300.05,384.6666666666667,84.61666666666667
35,Local,6,282.65,285.3157894736842,2.6657894736842422
37,Global,2,217.52631578947367,229.8421052631579,12.31578947368422
37,Global,6,260.8,201.05,-59.75
37,Local,2,360.6,373.85,13.25
37,Local,6,220.95,279.9,58.94999999999999
